user_id,timestamp,ip_address,location,success,auth_method,device_type,is_attack,attack_type
user_001,2026-04-06 09:42:22.394777,192.168.160.39,Rome,True,biometric,windows,False,
user_001,2026-03-26 11:13:37.394777,192.168.63.250,Rome,True,biometric,windows,False,
user_001,2026-04-06 13:11:55.394777,192.168.119.147,Rome,True,password,mobile,False,
user_001,2026-04-07 05:20:13.394777,192.168.100.198,Rome,True,biometric,windows,False,
user_001,2026-03-31 05:56:06.394777,192.168.104.143,Rome,True,mfa,linux,False,
user_001,2026-04-04 07:09:23.394777,192.168.81.139,Rome,True,biometric,windows,False,
user_001,2026-04-11 13:12:05.394777,192.168.228.29,Rome,True,biometric,windows,False,
user_001,2026-04-01 06:04:16.394777,192.168.189.66,Rome,True,mfa,mobile,False,
user_001,2026-03-29 11:57:36.394777,192.168.53.147,Rome,True,biometric,linux,False,
user_001,2026-04-07 13:00:17.394777,192.168.243.203,Rome,True,mfa,windows,False,
user_001,2026-03-30 08:14:19.394777,192.168.85.47,Rome,True,mfa,linux,False,
user_001,2026-03-19 06:42:52.394777,192.168.235.15,Rome,True,biometric,linux,False,
user_001,2026-03-30 07:41:09.394777,192.168.15.255,Rome,True,password,mobile,False,
user_001,2026-03-30 11:33:34.394777,192.168.159.238,Rome,True,biometric,linux,False,
user_001,2026-03-21 10:10:47.394777,192.168.214.231,Rome,True,password,windows,False,
user_001,2026-04-06 08:43:54.394777,192.168.233.105,Rome,True,mfa,windows,False,
user_001,2026-03-21 08:26:04.394777,192.168.61.52,Rome,True,mfa,windows,False,
user_001,2026-04-14 13:38:52.394777,192.168.56.221,Rome,True,password,mobile,False,
user_001,2026-04-07 09:29:16.394777,192.168.140.8,Rome,True,password,mobile,False,
user_001,2026-04-08 09:18:09.394777,192.168.165.61,Rome,True,password,windows,False,
user_001,2026-03-20 11:08:14.394777,192.168.47.179,Rome,True,password,mobile,False,
user_001,2026-03-23 09:19:16.394777,192.168.94.88,Rome,True,biometric,windows,False,
user_001,2026-03-18 06:51:19.394777,192.168.164.192,Rome,True,biometric,linux,False,
user_001,2026-03-22 06:09:08.394777,192.168.16.135,Rome,True,mfa,windows,False,
user_001,2026-03-26 14:28:21.394777,192.168.135.229,Rome,True,biometric,mobile,False,
user_001,2026-04-10 13:47:01.394777,192.168.65.5,Rome,True,mfa,windows,False,
user_001,2026-03-16 11:27:16.394777,192.168.106.143,Rome,True,biometric,mobile,False,
user_001,2026-04-09 05:32:27.394777,192.168.167.184,Rome,True,mfa,linux,False,
user_001,2026-03-28 08:23:25.394777,192.168.93.7,Rome,True,password,windows,False,
user_001,2026-04-08 09:45:59.394777,192.168.9.128,Rome,True,mfa,windows,False,
user_001,2026-04-07 05:39:23.394777,192.168.155.43,Rome,True,biometric,mobile,False,
user_001,2026-04-07 13:11:27.394777,192.168.116.73,Rome,True,password,mobile,False,
user_001,2026-04-13 07:53:40.394777,192.168.175.128,Rome,True,mfa,mobile,False,
user_001,2026-03-23 06:02:48.394777,192.168.201.9,Rome,True,biometric,windows,False,
user_001,2026-04-02 07:23:38.394777,192.168.66.165,Rome,True,password,windows,False,
user_001,2026-03-18 09:09:23.394777,192.168.154.253,Rome,True,mfa,linux,False,
user_001,2026-03-30 10:44:04.394777,192.168.216.156,Rome,True,password,linux,False,
user_001,2026-04-04 05:24:53.394777,192.168.229.155,Rome,True,mfa,mobile,False,
user_001,2026-04-13 07:10:40.394777,192.168.198.93,Rome,True,mfa,mobile,False,
user_001,2026-03-25 08:12:44.394777,192.168.18.162,Rome,True,password,windows,False,
user_002,2026-03-22 11:59:57.394777,192.168.251.148,Madrid,True,password,mac,False,
user_002,2026-04-03 13:39:15.394777,192.168.84.179,Madrid,True,mfa,mac,False,
user_002,2026-04-10 13:15:26.394777,192.168.209.209,Madrid,True,password,mac,False,
user_002,2026-03-30 05:30:20.394777,192.168.242.41,Madrid,True,biometric,mac,False,
user_002,2026-04-11 08:47:58.394777,192.168.69.17,Madrid,True,biometric,mac,False,
user_002,2026-04-11 10:12:12.394777,192.168.189.2,Madrid,True,password,mac,False,
user_002,2026-04-08 05:34:28.394777,192.168.86.249,Madrid,True,biometric,mac,False,
user_002,2026-03-28 09:19:28.394777,192.168.49.217,Madrid,True,mfa,mac,False,
user_002,2026-04-02 11:09:26.394777,192.168.72.149,Madrid,True,password,mac,False,
user_002,2026-03-31 09:43:51.394777,192.168.168.215,Madrid,True,biometric,mac,False,
user_002,2026-04-02 08:04:25.394777,192.168.112.250,Madrid,True,password,mac,False,
user_002,2026-03-24 13:08:34.394777,192.168.169.151,Madrid,True,mfa,mac,False,
user_002,2026-04-11 12:50:42.394777,192.168.118.157,Madrid,True,biometric,mac,False,
user_002,2026-04-06 06:47:17.394777,192.168.28.188,Madrid,True,password,mac,False,
user_002,2026-04-14 14:53:49.394777,192.168.136.177,Madrid,True,biometric,mac,False,
user_002,2026-04-02 13:11:17.394777,192.168.178.202,Madrid,False,mfa,mac,False,
user_002,2026-03-31 09:23:59.394777,192.168.61.74,Madrid,True,mfa,mac,False,
user_002,2026-03-31 05:24:56.394777,192.168.34.55,Madrid,True,biometric,mac,False,
user_002,2026-04-12 14:35:50.394777,192.168.232.120,Madrid,True,password,mac,False,
user_002,2026-04-11 11:58:58.394777,192.168.26.92,Madrid,True,password,mac,False,
user_002,2026-04-11 10:56:10.394777,192.168.226.19,Madrid,True,mfa,mac,False,
user_002,2026-03-16 05:58:13.394777,192.168.148.158,Madrid,True,password,mac,False,
user_002,2026-03-21 07:19:37.394777,192.168.185.228,Madrid,True,biometric,mac,False,
user_002,2026-03-15 14:27:00.394777,192.168.133.194,Madrid,True,biometric,mac,False,
user_002,2026-03-29 12:34:31.394777,192.168.41.157,Madrid,False,mfa,mac,False,
user_002,2026-04-14 10:44:40.394777,192.168.229.11,Madrid,True,biometric,mac,False,
user_002,2026-03-28 06:50:48.394777,192.168.94.175,Madrid,True,biometric,mac,False,
user_002,2026-03-24 12:51:27.394777,192.168.61.205,Madrid,True,mfa,mac,False,
user_002,2026-03-21 12:19:31.394777,192.168.85.88,Madrid,True,password,mac,False,
user_002,2026-04-07 12:05:40.394777,192.168.213.97,Madrid,True,mfa,mac,False,
user_002,2026-04-05 07:38:00.394777,192.168.250.227,Madrid,True,mfa,mac,False,
user_002,2026-04-04 10:26:03.394777,192.168.5.21,Madrid,True,password,mac,False,
user_002,2026-03-26 14:28:38.394777,192.168.201.161,Madrid,True,password,mac,False,
user_002,2026-03-21 11:19:22.394777,192.168.218.133,Madrid,True,biometric,mac,False,
user_002,2026-04-13 14:16:02.394777,192.168.234.29,Madrid,True,biometric,mac,False,
user_002,2026-03-24 12:08:09.394777,192.168.34.180,Madrid,True,biometric,mac,False,
user_002,2026-04-09 06:37:24.394777,192.168.203.39,Madrid,True,mfa,mac,False,
user_002,2026-04-08 11:02:22.394777,192.168.156.146,Madrid,True,mfa,mac,False,
user_002,2026-03-29 06:41:44.394777,192.168.135.147,Madrid,True,mfa,mac,False,
user_002,2026-03-22 12:39:10.394777,192.168.136.83,Madrid,True,biometric,mac,False,
user_003,2026-04-07 11:38:16.394777,192.168.192.23,Milan,True,password,windows,False,
user_003,2026-03-26 14:45:09.394777,192.168.24.23,Milan,True,password,linux,False,
user_003,2026-04-01 13:01:48.394777,192.168.116.3,Milan,False,password,mac,False,
user_003,2026-04-12 06:21:31.394777,192.168.82.242,Milan,True,password,windows,False,
user_003,2026-04-08 06:55:42.394777,192.168.57.215,Milan,False,mfa,windows,False,
user_003,2026-04-01 14:46:19.394777,192.168.200.172,Milan,True,biometric,windows,False,
user_003,2026-03-27 13:06:17.394777,192.168.23.131,Milan,True,password,mac,False,
user_003,2026-04-04 07:47:25.394777,192.168.151.61,Milan,True,password,mac,False,
user_003,2026-03-15 07:11:23.394777,192.168.65.69,Milan,True,password,linux,False,
user_003,2026-03-27 06:58:45.394777,192.168.121.53,Milan,True,password,mac,False,
user_003,2026-04-11 11:34:03.394777,192.168.162.34,Milan,True,mfa,linux,False,
user_003,2026-03-20 07:13:46.394777,192.168.157.131,Milan,True,biometric,windows,False,
user_003,2026-03-28 06:56:27.394777,192.168.229.78,Milan,True,biometric,mac,False,
user_003,2026-04-13 14:59:21.394777,192.168.69.177,Milan,True,mfa,linux,False,
user_003,2026-03-27 11:43:22.394777,192.168.185.121,Milan,True,password,linux,False,
user_003,2026-03-28 09:25:02.394777,192.168.132.75,Milan,True,mfa,windows,False,
user_003,2026-03-15 14:18:00.394777,192.168.84.214,Milan,True,password,linux,False,
user_003,2026-03-24 12:37:22.394777,192.168.100.75,Milan,True,password,linux,False,
user_003,2026-03-15 11:23:38.394777,192.168.106.149,Milan,True,password,windows,False,
user_003,2026-04-03 09:46:44.394777,192.168.117.87,Milan,True,biometric,mac,False,
